,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Jérémie,18.65,-74.1167,26.94,75,44,1.04,HT,1663126480
30,Bambous Virieux,-20.3428,57.7575,22.9,94,20,2.06,MU,1663126481
31,Nuuk,64.1835,-51.7216,9.34,76,75,9.77,GL,1663126482
32,Zatoka,46.0725,30.4654,14.04,78,72,4.87,UA,1663126482
33,Hermanus,-34.4187,19.2345,13.78,74,0,3.74,ZA,1663126482
34,Mount Gambier,-37.8333,140.7667,15.32,60,100,7.26,AU,1663126483
35,Kapaa,22.0752,-159.319,28.18,72,20,5.66,US,1663126483
36,Tūkrah,32.5341,20.5791,24.29,58,4,4.93,LY,1663126484
37,Iturama,-19.7281,-50.1956,27.69,34,75,2.05,BR,1663126484
38,Port Hedland,-20.3167,118.5667,30.03,32,0,5.66,AU,1663126485
39,Faanui,-16.4833,-151.75,25.86,74,100,9.03,PF,1663126486
40,Vanavara,60.34,102.2797,7.52,71,70,3.3,RU,1663126486
41,Awjilah,29.1081,21.2869,22.62,50,0,3.55,LY,1663126486
42,Tasiilaq,65.6145,-37.6368,2.09,79,100,2.16,GL,1663126487
43,Auki,-8.7676,160.7034,28.07,74,95,1.39,SB,1663126487
44,Bluff,-46.6,168.3333,10.45,66,68,6.9,NZ,1663126431
45,Brae,60.3964,-1.353,11.47,81,100,5.87,GB,1663126488
46,Mar del Plata,-38.0023,-57.5575,8.94,92,100,3.58,AR,1663126488
47,Ahipara,-35.1667,173.1667,14.24,61,42,3.93,NZ,1663126489
48,Hanting,36.7708,119.2108,22.27,83,100,2.78,CN,1663126489
49,Taoudenni,22.6783,-3.9836,33.49,9,0,1.31,ML,1663126490
50,Qaanaaq,77.484,-69.3632,0.68,75,93,2.1,GL,1663126491
51,Portland,45.5234,-122.6762,20.34,66,100,3.09,US,1663126393
52,Alvorada,-12.48,-49.1247,27.36,26,0,1.84,BR,1663126491
53,Yarensk,62.1675,49.0916,7.92,83,67,1.99,RU,1663126491
54,Kaitangata,-46.2817,169.8464,10.02,62,81,3.76,NZ,1663126493
55,Río Gallegos,-51.6226,-69.2181,3.03,65,0,5.14,AR,1663126493
56,Chui,-33.6971,-53.4616,10.14,97,9,2.91,UY,1663126493
57,Hasaki,35.7333,140.8333,28.22,72,88,7.67,JP,1663126346
58,George Town,5.4112,100.3354,28.97,70,20,1.54,MY,1663126229
59,Carnarvon,-24.8667,113.6333,19.91,46,17,8.1,AU,1663126390
60,Jarabacoa,19.1218,-70.6422,21.6,93,100,1.17,DO,1663126496
61,Playas,-2.6333,-80.3833,20.27,84,93,5.61,EC,1663126497
62,Santa Cruz de La Palma,28.6835,-17.7642,23.08,73,0,0.51,ES,1663126497
63,Ocampo,21.65,-101.5,13.06,74,64,4.61,MX,1663126498
64,Sitka,57.0531,-135.33,13.94,88,100,2.71,US,1663126498
65,Leningradskiy,69.3833,178.4167,1.84,99,100,2.66,RU,1663126498
66,Busselton,-33.65,115.3333,14.3,70,94,8.52,AU,1663126499
67,Švenčionys,55.15,26.1667,8.75,88,100,2.64,LT,1663126500
68,Albany,42.6001,-73.9662,15.91,93,19,2.45,US,1663126501
69,Mahibadhoo,3.7833,72.9667,26.86,72,31,1.45,MV,1663126501
70,Hamilton,39.1834,-84.5333,18.1,89,0,0.0,US,1663126502
71,Balasore,21.4942,86.9317,24.62,97,100,4.32,IN,1663126502
72,Karlskrona,56.1616,15.5866,14.25,83,93,7.99,SE,1663126503
73,Puerto Ayora,-0.7393,-90.3518,18.64,96,88,1.79,EC,1663126503
74,Taltal,-25.4,-70.4833,13.77,57,0,2.4,CL,1663126504
75,Kargopol',61.5071,38.9456,5.8,82,41,2.25,RU,1663126504
76,Sørland,67.667,12.6934,9.92,88,100,10.92,NO,1663126504
77,Paita,-5.0892,-81.1144,16.62,82,7,5.76,PE,1663126505
78,Saint-Philippe,-21.3585,55.7679,20.77,66,97,0.49,RE,1663126505
79,Hong Kong,22.2855,114.1577,34.1,43,30,2.68,HK,1663126304
80,Barra de Tecoanapa,16.5167,-98.75,24.87,91,100,1.7,MX,1663126507
81,Tuktoyaktuk,69.4541,-133.0374,2.0,93,75,7.2,CA,1663126507
82,Saskylakh,71.9167,114.0833,3.92,65,70,4.11,RU,1663126508
83,Luwuk,-0.9516,122.7875,26.55,83,91,3.86,ID,1663126508
84,Yar-Sale,66.8333,70.8333,7.15,84,100,3.82,RU,1663126509
85,Niono,14.2526,-5.993,24.45,77,48,3.17,ML,1663126510
86,Ponta do Sol,32.6667,-17.1,22.35,72,32,4.54,PT,1663126510
87,Sohna,28.25,77.0667,28.13,65,47,7.02,IN,1663126511
88,Hammerfest,70.6634,23.6821,2.25,80,40,2.06,NO,1663126512
89,Kloulklubed,7.0419,134.2556,30.28,70,37,5.2,PW,1663126512
90,Port Elizabeth,-33.918,25.5701,11.84,99,1,1.03,ZA,1663126513
91,Saint Paul Harbor,57.79,-152.4072,10.73,87,100,1.54,US,1663126488
92,Nome,64.5011,-165.4064,12.87,82,100,2.57,US,1663126513
93,Olafsvik,64.8945,-23.7142,7.65,77,39,4.52,IS,1663126514
94,Atar,20.5169,-13.0499,30.91,43,39,1.47,MR,1663126515
95,Tura,25.5198,90.2201,26.5,80,99,2.4,IN,1663126515
96,Ōdachō-ōda,35.1833,132.5,27.43,70,77,5.97,JP,1663126397
97,Minyar,55.0709,57.5485,10.13,61,100,1.67,RU,1663126516
98,Ca Mau,9.1769,105.15,30.17,69,46,4.98,VN,1663126487
99,Arrondissement de Mende,44.6667,3.5,13.7,93,100,2.64,FR,1663126516
100,Zhigansk,66.7697,123.3711,5.87,60,100,6.79,RU,1663126517
101,São Filipe,14.8961,-24.4956,25.64,84,61,2.49,CV,1663126517
102,Honningsvåg,70.9821,25.9704,4.86,70,20,2.57,NO,1663126517
103,Dhārchula,29.85,80.5333,25.72,79,46,1.65,IN,1663126518
104,Cap Malheureux,-19.9842,57.6142,23.04,70,84,2.24,MU,1663126518
105,Sabalgarh,26.25,77.4,25.16,92,100,4.49,IN,1663126519
106,Cidreira,-30.1811,-50.2056,14.74,90,84,4.53,BR,1663126519
107,Hilo,19.7297,-155.09,27.85,81,20,4.12,US,1663126520
108,Abu Dhabi,24.4667,54.3667,31.01,83,21,2.06,AE,1663125943
109,Kapchorwa,1.3965,34.4509,14.05,89,98,1.16,UG,1663126521
110,Jacmel,18.2342,-72.5347,24.91,82,96,1.39,HT,1663126521
111,Souillac,-20.5167,57.5167,19.21,94,20,2.06,MU,1663126521
112,Shelburne,44.0787,-80.2041,13.66,91,5,5.06,CA,1663126522
113,Saint-François,46.4154,3.9054,16.69,100,0,2.57,FR,1663126523
114,Codrington,-38.2667,141.9667,17.11,63,58,7.32,AU,1663126523
115,Sisimiut,66.9395,-53.6735,7.65,87,100,4.68,GL,1663126524
116,Kieta,-6.2167,155.6333,27.67,78,70,1.56,PG,1663126524
117,Atuona,-9.8,-139.0333,24.82,72,4,6.33,PF,1663126525
118,High Prairie,55.4334,-116.4858,10.61,61,0,0.95,CA,1663126525
119,Maragogi,-9.0122,-35.2225,22.44,88,73,1.66,BR,1663126525
120,Akdepe,42.0551,59.3788,17.05,25,0,6.33,TM,1663126526
121,Kérouané,9.2667,-9.0167,19.73,98,99,1.46,GN,1663126526
122,Sinnamary,5.3833,-52.95,26.2,84,6,4.05,GF,1663126527
123,Alekseyevsk,57.8406,108.3492,10.06,53,25,1.05,RU,1663126527
124,Kavaratti,10.5669,72.642,27.37,79,24,5.31,IN,1663126528
125,Myanaung,18.2833,95.3167,29.68,71,15,1.43,MM,1663126528
126,Yellowknife,62.456,-114.3525,9.29,87,75,3.09,CA,1663126528
127,Port Moresby,-9.4431,147.1797,31.68,62,40,5.14,PG,1663126529
128,Nikolskoye,59.7035,30.7861,11.04,76,100,2.48,RU,1663126529
129,Antofagasta,-23.65,-70.4,12.6,60,0,4.72,CL,1663126530
130,Sainte-Anne-des-Monts,49.124,-66.4924,13.93,100,100,1.03,CA,1663126531
131,Lüderitz,-26.6481,15.1594,20.0,29,0,1.35,NA,1663126531
132,Sorong,-0.8833,131.25,28.64,73,47,3.15,ID,1663126531
133,Dingle,10.9995,122.6711,31.21,68,55,6.12,PH,1663126336
134,Calamar,10.2511,-74.9146,24.5,91,98,1.96,CO,1663126532
135,Hungund,16.0667,76.05,24.94,76,100,9.16,IN,1663126532
136,Saint-Leu,-21.15,55.2833,20.48,66,98,2.44,RE,1663126533
137,Castro,-24.7911,-50.0119,14.99,99,100,1.85,BR,1663126533
138,Avarua,-21.2078,-159.775,25.03,78,40,7.72,CK,1663126534
139,Vao,-22.6667,167.4833,22.19,73,63,4.7,NC,1663126535
140,Kruisfontein,-34.0033,24.7314,10.21,85,0,2.53,ZA,1663126535
141,Obo,5.3998,26.4869,20.42,96,100,0.82,CF,1663126535
142,Upernavik,72.7868,-56.1549,5.24,88,100,0.61,GL,1663126536
143,East London,-33.0153,27.9116,14.45,70,0,4.82,ZA,1663126537
144,Mount Isa,-20.7333,139.5,32.87,17,0,3.6,AU,1663126537
145,Byron Bay,-28.65,153.6167,19.84,64,41,4.6,AU,1663126537
146,Talnakh,69.4865,88.3972,2.51,89,98,5.51,RU,1663126538
147,Ginda,30.6945,78.4932,20.73,81,93,2.0,IN,1663126539
148,Esim,4.8699,-2.2405,23.11,93,87,2.33,GH,1663126540
149,Airai,-8.9266,125.4092,25.66,36,38,3.35,TL,1663126540
150,Padang,-0.9492,100.3543,28.03,74,100,0.82,ID,1663126316
151,Mugumu,-1.85,34.7,16.8,78,90,1.86,TZ,1663126541
152,Domna,51.8971,113.1573,12.09,57,40,1.0,RU,1663126542
153,San Joaquin,37.9333,-121.3011,20.14,62,0,8.23,US,1663126542
154,Tari,12.4086,4.4914,24.08,87,61,4.05,NG,1663126542
155,Vila Franca do Campo,37.7167,-25.4333,25.11,96,38,2.63,PT,1663126542
156,Butaritari,3.0707,172.7902,27.16,75,8,4.19,KI,1663126543
157,Deputatsky,69.3,139.9,4.05,60,100,1.58,RU,1663126544
158,Thompson,55.7435,-97.8558,4.09,87,40,0.0,CA,1663126545
159,Sainte-Maxime,43.3,6.6333,22.18,89,100,2.55,FR,1663126545
160,Dem'yanovo,60.3511,47.0842,7.56,81,42,2.35,RU,1663126545
161,Galeana,24.8333,-100.0667,14.73,85,35,0.47,MX,1663126546
162,Pisco,-13.7,-76.2167,15.03,82,50,0.0,PE,1663126546
163,Cape Town,-33.9258,18.4232,16.73,80,0,2.06,ZA,1663126348
164,Grand Gaube,-20.0064,57.6608,22.99,70,85,2.24,MU,1663126547
165,Dikson,73.5069,80.5464,3.99,81,100,10.55,RU,1663126547
166,Bathsheba,13.2167,-59.5167,28.34,74,75,6.17,BB,1663126548
167,Hambantota,6.1241,81.1185,30.19,74,75,6.17,LK,1663126549
168,Conway,35.0887,-92.4421,21.96,76,100,0.0,US,1663126549
169,Seondha,26.1578,78.7797,26.19,87,99,5.99,IN,1663126550
170,Goryachegorsk,55.4053,88.9154,7.25,55,100,1.58,RU,1663126550
171,Ingham,42.6,-84.3833,18.92,89,0,2.57,US,1663126551
172,Cairns,-16.9167,145.7667,31.15,59,40,7.72,AU,1663126551
173,Constitución,-35.3333,-72.4167,8.83,85,14,2.24,CL,1663126551
174,Nouadhibou,20.931,-17.0347,23.45,80,10,6.56,MR,1663126552
175,Salalah,17.0151,54.0924,25.05,100,100,1.03,OM,1663126553
176,Cangzhou,38.3167,116.8667,26.08,59,38,7.19,CN,1663126553
177,Rio Grande,-32.035,-52.0986,13.3,95,57,5.22,BR,1663126554
178,Los Llanos de Aridane,28.6585,-17.9182,20.86,84,0,1.79,ES,1663126489
179,Morant Bay,17.8815,-76.4093,27.79,83,94,3.2,JM,1663126554
180,Hofn,64.2539,-15.2082,8.7,78,25,7.18,IS,1663126555
181,Macomb,40.4592,-90.6718,16.12,87,0,0.0,US,1663126556
182,Bengkulu,-3.8004,102.2655,27.23,70,100,1.11,ID,1663126377
183,San Quintín,30.4833,-115.95,22.04,86,96,4.28,MX,1663126556
184,Bethel,41.3712,-73.414,21.17,75,0,2.06,US,1663126557
185,Vila Velha,-20.3297,-40.2925,22.97,87,40,6.17,BR,1663126558
186,Santa Maria,-29.6842,-53.8069,12.61,88,75,0.0,BR,1663126558
187,Tisovec,48.6774,19.9436,10.93,79,86,1.02,SK,1663126559
188,São João da Barra,-21.6403,-41.0511,21.27,86,42,4.54,BR,1663126560
189,Cabo San Lucas,22.8909,-109.9124,28.67,78,0,3.6,MX,1663126561
190,Pevek,69.7008,170.3133,1.16,99,100,2.58,RU,1663126561
191,Road Town,18.4167,-64.6167,28.05,75,25,7.74,VG,1663126561
192,Mehamn,71.0357,27.8492,3.97,81,40,3.09,NO,1663126562
193,Marsh Harbour,26.5412,-77.0636,28.74,72,10,2.62,BS,1663126563
194,Naze,28.3667,129.4833,30.51,83,33,8.41,JP,1663126563
195,Grindavik,63.8424,-22.4338,5.26,93,0,4.63,IS,1663126564
196,Husavik,66.0449,-17.3389,6.1,87,100,5.84,IS,1663126564
197,Vega de Alatorre,20.0333,-96.6333,25.74,79,18,2.76,MX,1663126565
198,Kindu,-2.95,25.95,20.84,98,100,1.37,CD,1663126565
199,Kharp,66.8014,65.8081,7.36,85,100,4.3,RU,1663126566
200,Hāgere Hiywet,8.9833,37.85,14.44,96,100,0.79,ET,1663126567
201,Auka,14.9333,-83.8333,24.08,92,16,1.27,HN,1663126567
202,Borogontsy,62.6683,131.1683,6.78,94,99,6.38,RU,1663126567
203,Geraldton,-28.7667,114.6,19.23,52,75,7.2,AU,1663126568
204,Chokurdakh,70.6333,147.9167,7.91,47,94,5.22,RU,1663126568
205,Narsaq,60.9167,-46.05,6.12,64,3,1.96,GL,1663126569
206,Ribeira Grande,38.5167,-28.7,23.88,91,39,5.81,PT,1663126570
207,Meulaboh,4.1363,96.1285,28.51,67,98,1.2,ID,1663126570
208,Cherskiy,68.75,161.3,2.68,91,100,2.57,RU,1663126570
209,Ilulissat,69.2167,-51.1,9.01,71,100,6.69,GL,1663126571
210,Palamós,41.8484,3.1291,21.88,100,100,0.45,ES,1663126571
211,Porto-Novo,6.4965,2.6036,24.9,93,100,1.8,BJ,1663126571
212,Gushikawa,26.3544,127.8686,30.77,70,20,2.06,JP,1663126442
213,Pangnirtung,66.1451,-65.7125,5.27,99,100,3.28,CA,1663126572
214,Port Lincoln,-34.7333,135.8667,17.79,65,91,9.9,AU,1663126572
215,Arrondissement de Saint-Denis,48.9167,2.3333,21.19,87,0,2.57,FR,1663126573
216,Wakkanai,45.4094,141.6739,15.99,51,20,5.14,JP,1663126542
217,Maple Creek,49.9168,-109.4848,19.03,32,100,1.54,CA,1663126574
218,Ouadda,8.0777,22.4007,19.78,98,100,2.63,CF,1663126574
219,Skopelos Town,39.1247,23.7247,19.56,48,2,2.55,GR,1663126575
220,Karabash,55.4808,60.2157,11.28,55,82,2.04,RU,1663126575
221,Paracatu,-17.2222,-46.8747,22.43,29,5,1.38,BR,1663126576
222,Oskarshamn,57.2645,16.4484,12.21,90,66,4.91,SE,1663126576
223,Laguna,38.421,-121.4238,21.29,65,0,6.17,US,1663126576
224,Lorengau,-2.0226,147.2712,29.57,66,99,5.38,PG,1663126576
225,Kudahuvadhoo,2.6708,72.8944,27.31,68,54,1.93,MV,1663126576
226,Katsuura,35.1333,140.3,27.45,79,73,7.29,JP,1663126331
227,Siniscola,40.5719,9.6922,20.75,78,67,3.34,IT,1663126577
228,Helong,42.5397,128.9972,22.25,68,100,1.91,CN,1663126577
229,Orlik,52.5178,99.825,8.27,72,100,0.68,RU,1663126579
230,San Francisco,37.7749,-122.4194,18.35,90,20,6.17,US,1663126070
231,Labuhan,-6.8844,112.2051,30.19,60,6,3.15,ID,1663126580
232,Samarai,-10.6167,150.6667,27.23,80,32,5.19,PG,1663126580
233,Vardø,70.3705,31.1107,4.99,75,100,5.14,NO,1663126581
234,Milan,45.4643,9.1895,22.23,72,75,1.54,IT,1663126581
235,Oussouye,12.485,-16.5469,27.05,86,100,1.74,SN,1663126581
236,Yangi Marg`ilon,40.4272,71.7189,19.4,52,0,2.06,UZ,1663126582
237,Caravelas,-17.7125,-39.2481,21.65,85,2,3.7,BR,1663126582
238,Halifax,44.6453,-63.5724,20.26,93,100,2.68,CA,1663126582
239,College,64.8569,-147.8028,16.99,54,75,1.54,US,1663126583
240,Ţahţā,26.7693,31.5021,25.63,38,0,2.83,EG,1663126583
241,Nikšić,42.7731,18.9445,7.92,53,11,1.48,ME,1663126584
242,Tonila,19.4336,-103.5166,18.93,99,100,0.38,MX,1663126585
243,Egvekinot,66.3167,-179.1667,1.61,98,100,2.98,RU,1663126586
244,Ballina,-28.8667,153.5667,20.56,66,37,4.54,AU,1663126586
245,Port Hardy,50.6996,-127.4199,12.1,94,100,2.57,CA,1663126586
246,Edd,13.9297,41.6925,33.11,56,85,1.84,ER,1663126587
247,Carberry,49.8689,-99.3602,12.13,60,98,3.09,CA,1663126587
248,Fort Nelson,58.8053,-122.7002,10.77,71,20,1.03,CA,1663126587
249,Gladstone,-23.85,151.25,23.96,43,0,5.66,AU,1663126588
250,Aklavik,68.2191,-135.0107,5.12,93,100,3.39,CA,1663126588
251,Chicama,-7.8447,-79.1469,14.3,82,31,2.93,PE,1663126588
252,New Norfolk,-42.7826,147.0587,15.51,46,3,1.34,AU,1663126588
253,Havelock,34.8791,-76.9013,26.99,88,83,2.51,US,1663126589
254,Panama City,8.9936,-79.5197,26.88,92,20,2.57,PA,1663126589
255,Black River,18.0264,-77.8487,26.03,85,97,1.99,JM,1663126590
256,Zinder,13.8072,8.9881,26.05,74,16,3.63,NE,1663126590
257,Saldanha,-33.0117,17.9442,12.03,53,0,2.67,ZA,1663126591
258,Cabedelo,-6.9811,-34.8339,23.37,86,62,3.79,BR,1663126591
259,San Cristobal,7.7669,-72.225,24.1,96,99,0.8,VE,1663126592
260,Kavieng,-2.5744,150.7967,29.49,66,64,6.2,PG,1663126594
261,Provideniya,64.3833,-173.3,8.06,100,100,2.0,RU,1663126595
262,Esperance,-33.8667,121.9,14.3,58,98,13.16,AU,1663126595
263,Kismayo,-0.3582,42.5454,24.5,82,68,6.16,SO,1663126596
264,Yaring,6.8662,101.3689,27.38,60,68,6.61,TH,1663126597
265,Srednekolymsk,67.45,153.6833,8.27,51,23,3.44,RU,1663126597
266,Liwale,-9.7667,37.9333,18.17,90,25,1.17,TZ,1663126598
267,Phan Thiet,10.9333,108.1,32.61,55,71,5.88,VN,1663126584
268,Laas,46.6166,10.7002,18.49,87,93,1.46,IT,1663126598
269,Camacha,33.0833,-16.3333,20.68,78,20,5.66,PT,1663126600
270,Coquimbo,-29.9533,-71.3436,10.85,81,0,3.09,CL,1663126601
271,Kumul,42.8,93.45,23.96,14,0,2.35,CN,1663126379
272,Ridgecrest,35.6225,-117.6709,27.92,26,20,4.47,US,1663126603
273,Vilhena,-12.7406,-60.1458,23.16,48,9,1.14,BR,1663126603
274,Kaeo,-35.1,173.7833,17.4,75,81,0.85,NZ,1663126603
275,Lavrentiya,65.5833,-171.0,7.06,94,100,1.25,RU,1663126604
276,Malaya Purga,56.5567,53.0043,6.95,64,100,4.58,RU,1663126604
277,Iquique,-20.2208,-70.1431,14.02,75,6,1.16,CL,1663126605
278,Mamontovo,52.7055,81.6244,11.7,39,20,5.48,RU,1663126605
279,Kadaya,50.9327,119.2911,21.04,27,100,3.32,RU,1663126606
280,Chifeng,42.2683,118.9636,25.85,35,1,3.15,CN,1663126320
281,Karratha,-20.7377,116.8463,27.27,27,1,0.6,AU,1663126334
282,Villa Carlos Paz,-31.4241,-64.4978,10.77,29,48,2.14,AR,1663126609
283,Buin,-33.7333,-70.75,12.08,85,0,1.11,CL,1663126609
284,Streator,41.1209,-88.8354,16.9,94,0,0.76,US,1663126609
285,Casper,42.8666,-106.3131,19.84,47,100,9.77,US,1663126610
286,Kara-Tyube,44.6336,45.4369,16.93,87,100,4.78,RU,1663126611
287,Broome,42.2506,-75.833,14.36,87,0,2.57,US,1663126611
288,Haines Junction,60.7522,-137.5108,9.97,66,100,3.6,CA,1663126611
289,Alice Springs,-23.7,133.8833,32.75,17,7,7.72,AU,1663126611
290,Adrar,20.5022,-10.0711,34.38,21,53,3.91,MR,1663126612
291,Baião,-2.7906,-49.6717,23.03,93,29,1.48,BR,1663126612
292,Cho Dok,10.7,105.1167,31.85,58,33,5.8,VN,1663126450
293,Lozova,48.8894,36.3176,10.39,91,87,3.12,UA,1663126613
294,Colquechaca,-18.6667,-66.0167,0.07,56,71,0.6,BO,1663126613
295,Iqaluit,63.7506,-68.5145,5.85,86,75,1.54,CA,1663126613
296,Sterling,39.0062,-77.4286,21.0,73,75,5.14,US,1663126614
297,Alakurtti,66.9672,30.3491,6.37,96,100,1.51,RU,1663126614
298,Anadyr,64.75,177.4833,6.28,93,100,3.0,RU,1663126615
299,Clyde River,70.4692,-68.5914,3.13,100,100,6.17,CA,1663126616
300,Bridlington,54.0831,-0.1919,10.5,77,17,2.63,GB,1663126616
301,Gornoye Loo,43.7129,39.6049,14.88,85,87,1.69,RU,1663126616
302,Taksimo,56.3444,114.8794,11.93,49,71,0.9,RU,1663126617
303,Léo,11.1,-2.1,21.14,94,46,1.42,BF,1663126617
304,Ancud,-41.8697,-73.8203,10.68,87,100,7.68,CL,1663126618
305,Quang Ngai,15.1167,108.8,31.36,64,38,2.4,VN,1663126589
306,Vaitape,-16.5167,-151.75,25.86,74,100,9.01,PF,1663126619
307,Bayan,46.0833,127.4,21.57,55,45,2.9,CN,1663126620
308,Grand-Lahou,5.1367,-5.0242,23.27,94,97,2.9,CI,1663126620
309,Qasigiannguit,68.8193,-51.1922,9.14,83,100,3.39,GL,1663126621
310,Eišiškės,54.1667,25.0,9.82,91,98,3.83,LT,1663126621
311,Yarmouth,41.7057,-70.2286,23.33,95,100,3.09,US,1663126622
312,Hualmay,-11.0964,-77.6139,15.59,85,68,3.68,PE,1663126622
313,Ha Tinh,18.3333,105.9,31.33,59,56,0.84,VN,1663126479
314,Boulder City,35.9786,-114.8325,29.18,42,32,3.6,US,1663126623
315,Khatanga,71.9667,102.5,1.37,97,100,4.45,RU,1663126623
316,Owando,-0.4819,15.8999,21.47,85,94,1.41,CG,1663126624
317,Kenai,60.5544,-151.2583,11.16,89,75,4.63,US,1663126624
318,Luena,-11.7833,19.9167,14.96,33,4,2.0,AO,1663126626
319,Shache,38.4167,77.2406,26.65,18,71,1.75,CN,1663126626
320,Ambon City,-3.6954,128.1814,28.08,83,40,3.09,ID,1663126627
321,Pascagoula,30.3658,-88.5561,20.03,95,0,0.0,US,1663126628
322,Cedar City,37.6775,-113.0619,15.22,88,100,4.12,US,1663126628
323,Sukpak,51.6667,94.6333,14.17,41,3,1.23,RU,1663126629
324,Buchanan,5.8808,-10.0467,24.01,91,99,2.68,LR,1663126629
325,Boa Vista,2.8197,-60.6733,25.99,78,20,2.06,BR,1663126559
326,Uyemskiy,64.4743,40.8524,11.03,87,40,2.0,RU,1663126630
327,Wad Medani,14.4012,33.5199,23.18,82,59,5.03,SD,1663126630
328,Inírida,3.8653,-67.9239,23.25,90,91,0.53,CO,1663126630
329,Luganville,-15.5333,167.1667,27.7,72,48,4.52,VU,1663126631
330,Khorol,49.7837,33.2783,10.33,92,100,3.84,UA,1663126632
331,Ruwi,23.5996,58.5507,29.83,55,4,0.83,OM,1663126632
332,Severo-Kuril'sk,50.6789,156.125,11.38,72,64,9.19,RU,1663126632
333,Marawi,7.9986,124.2928,28.87,60,71,2.11,PH,1663126632
334,Biak,-0.9131,122.8766,26.22,77,94,4.54,ID,1663126633
335,Dakar,14.6937,-17.4441,27.07,89,40,2.06,SN,1663126351
336,Ostrovnoy,68.0531,39.5131,8.86,82,100,9.62,RU,1663126634
337,Huarmey,-10.0681,-78.1522,16.07,85,30,3.98,PE,1663126634
338,Lipetsk,52.6031,39.5708,10.41,98,100,1.79,RU,1663126634
339,Kristiansund,63.1115,7.732,10.36,93,100,7.2,NO,1663126635
340,Soldotna,60.4878,-151.0583,11.12,88,100,4.63,US,1663126635
341,Chengde,40.9725,117.9361,29.43,29,0,3.41,CN,1663126636
342,Aswān,24.0934,32.907,28.44,31,3,4.44,EG,1663126636
343,Menzel Kamel,35.6248,10.6673,25.69,78,0,1.03,TN,1663126636
344,Domoni,-12.2569,44.5319,23.57,77,26,3.42,KM,1663126637
345,Guerrero Negro,27.9769,-114.0611,23.09,77,0,5.3,MX,1663126637
346,Nantucket,41.2835,-70.0995,24.06,76,100,5.14,US,1663126637
347,Northam,51.0333,-4.2167,14.78,95,100,4.23,GB,1663126638
348,Sipe Sipe,-17.45,-66.3833,17.27,74,71,2.57,BO,1663126639
349,Vanimo,-2.6741,141.3028,30.19,64,97,4.74,PG,1663126639
350,Chervona Sloboda,49.3789,32.1464,11.59,89,100,4.69,UA,1663126640
351,Lac du Bonnet,50.2536,-96.0612,7.67,73,69,2.21,CA,1663126640
352,Umluj,25.0213,37.2685,29.7,43,2,4.92,SA,1663126640
353,Vostok,46.4856,135.8833,18.6,35,0,1.62,RU,1663126641
354,Dandong,40.1292,124.3947,20.72,84,100,0.97,CN,1663126641
355,Kasongo-Lunda,-6.4667,16.8167,21.67,88,80,1.1,CD,1663126642
356,Nueva Imperial,-38.7333,-72.95,6.36,95,49,0.63,CL,1663126643
